Index;Lesion;Filename;ROI
295;097;ROI 3 - 2D Ellipse;Max_uptake_circle
296;098;ROI 1 - Free Hand;Norma
297;098;ROI 2 - Sphere;Max_uptake_sphere
298;098;ROI 3 - 2D Ellipse;Max_uptake_circle
299;099;ROI 1 - Free Hand;Norma
300;099;ROI 2 - Sphere;Max_uptake_sphere
301;099;ROI 3 - 2D Ellipse;Max_uptake_circle
302;100;ROI 1 - Free Hand;Norma
303;100;ROI 2 - Sphere;Max_uptake_sphere
304;100;ROI 3 - 2D Ellipse;Max_uptake_circle
305;101;ROI 1 - Free Hand;Norma
306;101;ROI 2 - Sphere;Max_uptake_sphere
307;101;ROI 3 - 2D Ellipse;Max_uptake_circle
308;102;ROI 1 - Free Hand;Norma
309;102;ROI 2 - Sphere;Max_uptake_sphere
310;102;ROI 3 - 2D Ellipse;Max_uptake_circle
311;103;ROI 1 - Free Hand;Norma
312;103;ROI 2 - Sphere;Max_uptake_sphere
313;103;ROI 3 - 2D Ellipse;Max_uptake_circle
314;104;ROI 1 - Free Hand;Norma
315;104;ROI 2 - Sphere;Max_uptake_sphere
316;104;ROI 3 - 2D Ellipse;Max_uptake_circle
317;105;ROI 1 - Free Hand;Norma
318;105;ROI 2 - Sphere;Max_uptake_sphere
319;105;ROI 3 - 2D Ellipse;Max_uptake_circle
320;106;ROI 1 - Free Hand;Norma
321;106;ROI 2 - Sphere;Max_uptake_sphere
322;106;ROI 3 - 2D Ellipse;Max_uptake_circle
323;107;ROI 1 - Free Hand;Norma
324;107;ROI 2 - Sphere;Max_uptake_sphere
325;107;ROI 3 - 2D Ellipse;Max_uptake_circle
326;108;ROI 1 - Free Hand;Norma
327;108;ROI 2 - Sphere;Max_uptake_sphere
328;108;ROI 3 - 2D Ellipse;Max_uptake_circle
329;109;ROI 1 - Free Hand;Norma
330;109;ROI 2 - Sphere;Max_uptake_sphere
331;109;ROI 3 - 2D Ellipse;Max_uptake_circle
332;110;ROI 1 - Free Hand;Norma
333;110;ROI 2 - Sphere;Max_uptake_sphere
334;110;ROI 3 - 2D Ellipse;Max_uptake_circle
335;111;ROI 1 - Free Hand;Norma
336;111;ROI 2 - Sphere;Max_uptake_sphere
337;111;ROI 3 - 2D Ellipse;Max_uptake_circle
338;112;ROI 1 - Free Hand;Norma
339;112;ROI 2 - Sphere;Max_uptake_sphere
340;112;ROI 3 - 2D Ellipse;Max_uptake_circle
341;113;ROI 1 - Free Hand;Norma
342;113;ROI 2 - Sphere;Max_uptake_sphere
343;113;ROI 3 - 2D Ellipse;Max_uptake_circle
344;114;ROI 1 - Free Hand;Norma
345;114;ROI 2 - Sphere;Max_uptake_sphere
346;114;ROI 3 - 2D Ellipse;Max_uptake_circle
347;115;ROI 1 - Free Hand;Norma
348;115;ROI 2 - Sphere;Max_uptake_sphere
349;115;ROI 3 - 2D Ellipse;Max_uptake_circle
350;116;ROI 1 - Free Hand;Norma
351;116;ROI 2 - Sphere;Max_uptake_sphere
352;116;ROI 3 - 2D Ellipse;Max_uptake_circle
353;117;ROI 1 - Free Hand;Norma
354;117;ROI 2 - Sphere;Max_uptake_sphere
355;117;ROI 3 - 2D Ellipse;Max_uptake_circle
356;118;ROI 1 - Free Hand;Norma
357;118;ROI 2 - Sphere;Max_uptake_sphere
358;118;ROI 3 - 2D Ellipse;Max_uptake_circle
359;119;ROI 1 - Free Hand;Norma
360;119;ROI 2 - Sphere;Max_uptake_sphere
361;119;ROI 3 - 2D Ellipse;Max_uptake_circle
362;120;ROI 1 - Free Hand;Norma
363;120;ROI 2 - Sphere;Max_uptake_sphere
364;120;ROI 3 - 2D Ellipse;Max_uptake_circle
365;121;ROI 1 - Free Hand;Norma
366;121;ROI 2 - Sphere;Max_uptake_sphere
367;121;ROI 3 - 2D Ellipse;Max_uptake_circle
